City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Iquique,CL,2020-10-03 21:22:54,-20.22,-70.14,62.6,67,7,20.8
267,San Patricio,MX,2020-10-03 21:22:54,19.22,-104.7,91.4,63,5,11.41
268,Newport,GB,2020-10-03 21:20:12,51.59,-3.0,52.0,93,100,1.99
269,Kenora,CA,2020-10-03 21:22:55,49.82,-94.43,44.6,48,75,5.82
270,Pundaguitan,PH,2020-10-03 21:22:55,6.37,126.17,82.98,76,100,9.35
271,Las Vegas,US,2020-10-03 21:22:51,36.17,-115.14,97.0,5,1,3.36
272,Benghazi,LY,2020-10-03 21:22:55,32.12,20.07,85.15,40,0,23.6
273,Hovd,MN,2020-10-03 21:22:55,48.01,91.64,32.52,83,0,1.19
274,Kachug,RU,2020-10-03 21:22:55,53.96,105.88,25.23,88,0,0.87
275,Cambridge,CA,2020-10-03 21:22:56,43.36,-80.31,52.0,62,90,8.05
276,Kepno,PL,2020-10-03 21:22:56,51.28,17.99,75.0,56,0,15.23
277,Huarmey,PE,2020-10-03 21:22:56,-10.07,-78.15,67.68,70,9,13.09
278,Labuan,MY,2020-10-03 21:22:56,5.28,115.24,75.2,94,20,1.12
279,Quzhou,CN,2020-10-03 21:22:56,28.96,118.87,73.24,91,47,1.99
280,Iskateley,RU,2020-10-03 21:22:56,67.68,53.15,33.1,92,69,6.2
281,Laa,SL,2020-10-03 21:22:57,8.08,-10.77,72.48,97,100,2.04
282,Temir,KZ,2020-10-03 21:22:57,49.14,57.13,51.08,40,0,5.7
283,Udachnyy,RU,2020-10-03 21:22:57,66.42,112.4,30.2,92,90,6.71
284,Bari Sadri,IN,2020-10-03 21:22:57,24.42,74.47,74.41,51,4,4.0
285,Amapa,BR,2020-10-03 21:22:58,1.0,-52.0,87.33,50,87,4.99
286,Ishigaki,JP,2020-10-03 21:22:58,24.34,124.16,77.0,83,20,9.17
287,Yarada,IN,2020-10-03 21:22:58,17.65,83.27,80.6,94,75,2.24
288,Svetlaya,RU,2020-10-03 21:22:58,46.54,138.33,48.04,76,0,8.68
289,Ukhta,RU,2020-10-03 21:22:59,63.57,53.68,30.79,96,0,3.71
290,Mount Gambier,AU,2020-10-03 21:22:59,-37.83,140.77,55.4,93,90,3.36
291,Harper,LR,2020-10-03 21:22:59,4.38,-7.72,77.59,87,81,10.31
292,Port Macquarie,AU,2020-10-03 21:18:26,-31.43,152.92,61.0,99,4,1.01
293,Evensk,RU,2020-10-03 21:22:59,61.95,159.23,38.07,74,11,3.2
294,Brae,GB,2020-10-03 21:22:59,60.4,-1.35,55.4,87,100,18.34
295,Quang Ngai,VN,2020-10-03 21:22:59,15.12,108.8,78.03,87,100,2.51
296,Khatanga,RU,2020-10-03 21:18:05,71.97,102.5,20.39,98,90,12.41
297,Ikongo,MG,2020-10-03 21:23:00,-21.88,47.43,67.48,90,100,1.41
298,Westport,US,2020-10-03 21:20:47,41.14,-73.36,68.0,40,40,13.87
299,Cozumel,MX,2020-10-03 21:23:00,20.51,-86.95,78.8,88,90,9.17
300,Lasa,IT,2020-10-03 21:23:00,46.62,10.7,51.01,93,75,10.29
301,Zhanaozen,KZ,2020-10-03 21:23:00,43.3,52.8,56.5,35,67,8.3
302,Tena,EC,2020-10-03 21:23:00,-0.98,-77.82,66.2,100,90,5.82
303,Ulety,RU,2020-10-03 21:23:01,51.36,112.48,25.48,95,84,4.92
304,Hilo,US,2020-10-03 21:22:43,19.73,-155.09,87.8,45,1,11.41
