City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
352,Geraldton,AU,-28.77,114.6,68.0,37,0,19.46,clear sky
353,Hamilton,US,39.18,-84.53,55.4,87,90,3.83,overcast clouds
354,Alice Springs,AU,-23.7,133.88,86.0,33,40,18.34,light rain
355,Pevek,RU,69.7,170.31,33.78,88,98,14.67,overcast clouds
356,Luvianos,MX,18.92,-100.4,60.31,95,52,2.77,broken clouds
357,Anyama,CI,5.49,-4.05,77.0,94,20,5.82,few clouds
358,Morondava,MG,-20.28,44.28,82.15,62,1,5.37,clear sky
359,Manaus,BR,-3.1,-60.02,80.6,83,12,1.12,few clouds
360,Bet Shemesh,IL,31.75,34.99,73.99,84,8,2.86,clear sky
361,Kahului,US,20.89,-156.47,80.6,61,40,17.22,scattered clouds
